City,Country,Latitude,Longitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Rikitea,PF,-23.12,-134.97,1563121148,74.39,85,7,16.44
Lompoc,US,34.64,-120.46,1563121148,62.49,93,20,5.82
Ushuaia,AR,-54.81,-68.31,1563121149,39.2,93,40,5.82
Kapaa,US,22.08,-159.32,1563121149,75.07,90,20,4.7
Two Hills,CA,53.71,-111.75,1563121149,62.87,84,85,5.26
Tura,RU,64.27,100.22,1563121149,62.33,79,100,2.71
Mar del Plata,AR,-46.43,-67.52,1563121149,41.27,68,99,4.05
Albany,US,42.65,-73.75,1563120919,79.27,65,75,8.05
East London,ZA,-33.02,27.91,1563121150,64.4,77,0,10.29
Tuktoyaktuk,CA,69.44,-133.03,1563121150,57.2,82,75,4.7
Marquette,US,46.54,-87.4,1563121010,76.53,36,5,11.41
Nome,US,30.04,-94.42,1563121150,81.75,78,75,6.93
Marsaxlokk,MT,35.84,14.54,1563121151,83.39,66,20,9.17
Arraial do Cabo,BR,-22.97,-42.02,1563121151,81.54,54,0,5.82
Khatanga,RU,71.98,102.47,1563121151,56.03,53,0,9.37
Salalah,OM,17.01,54.1,1563121151,78.17,87,94,13.62
Punta Arenas,CL,-53.16,-70.91,1563121152,34.36,100,40,11.41
Staunton,US,38.15,-79.07,1563121152,86.29,51,1,6.33
Baijiantan,CN,45.63,85.18,1563121152,80.15,23,10,6.15
Ushtobe,KZ,45.25,77.98,1563121153,86.27,26,0,10.22
Busselton,AU,-33.64,115.35,1563121153,49.32,60,30,19.53
Nikolskoye,RU,59.7,30.79,1563121153,59.94,51,20,6.71
Hermanus,ZA,-34.42,19.24,1563121153,55.24,90,44,20.78
Wanning,AT,48.64,13.53,1563121153,63.43,87,75,5.82
Flinders,AU,-34.58,150.85,1563121154,53.6,58,100,27.51
Ukiah,US,39.15,-123.21,1563121154,66.13,49,1,2.28
Puerto Suarez,BO,-18.96,-57.8,1563121154,81.46,58,40,4.7
Hilo,US,19.71,-155.08,1563121155,71.87,69,90,4.7
Zhezkazgan,KZ,47.8,67.71,1563121155,90.41,15,0,10.58
Mount Gambier,AU,-37.83,140.78,1563121155,50.0,81,75,17.22
Saint-Philippe,CA,45.36,-73.48,1563121155,73.76,60,90,5.82
Aripuana,BR,-9.17,-60.63,1563121156,92.39,37,0,4.23
Bonavista,CA,48.65,-53.11,1563121156,51.01,83,95,7.0
Jamestown,AU,-33.21,138.6,1563121156,44.87,95,56,9.06
Touros,BR,-5.2,-35.46,1563121156,79.43,80,0,16.49
Clyde River,CA,70.47,-68.59,1563121157,42.8,93,75,12.75
Alice Springs,AU,-23.7,133.88,1563121138,39.2,55,0,2.24
Barreiras,BR,-12.14,-45.0,1563121157,88.25,26,0,5.19
Pevek,RU,69.7,170.27,1563121157,34.07,94,100,10.49
Georgetown,GY,6.8,-58.16,1563120935,84.02,70,75,11.41
New Norfolk,AU,-42.78,147.06,1563121158,43.84,61,40,17.22
Kenai,US,60.55,-151.26,1563121158,55.74,93,90,1.83
Watford,GB,51.66,-0.4,1563121158,69.13,53,75,8.05
Narsaq,GL,60.91,-46.05,1563121158,62.6,51,75,9.17
Majene,ID,-3.54,118.97,1563121159,81.23,71,67,20.4
Pisco,PE,-13.71,-76.2,1563121159,67.66,30,90,4.7
Natal,BR,-5.81,-35.21,1563121159,87.17,51,47,12.41
Nieuwpoort,BE,51.13,2.75,1563121159,65.34,68,68,17.22
Los Llanos de Aridane,ES,28.66,-17.92,1563121160,73.17,65,75,14.99
Lebu,ET,8.96,38.73,1563121160,62.6,77,75,9.17
Shieli,KZ,44.18,66.74,1563121160,99.05,9,0,8.3
Port Alfred,ZA,-33.59,26.89,1563121160,64.0,86,15,4.0
Talnakh,RU,69.49,88.39,1563121161,62.6,77,0,6.71
Mitu,IR,36.2,46.09,1563121161,85.01,13,0,15.77
Bandarbeyla,SO,9.49,50.81,1563121161,90.41,38,97,24.65
Say,NE,13.1,2.36,1563121162,98.6,29,20,2.24
Ribeira Grande,PT,38.52,-28.7,1563121162,77.0,57,40,14.99
Carnarvon,ZA,-30.97,22.13,1563121162,67.91,15,0,16.98
Tabory,PL,53.89,19.53,1563121162,70.45,49,0,8.01
Butaritari,KI,3.07,172.79,1563121162,83.57,68,8,3.83
Malinovoye Ozero,RU,51.68,79.77,1563121163,73.85,55,0,13.0
Te Anau,NZ,-45.41,167.72,1563121163,38.39,76,56,6.29
San Patricio,PY,-26.98,-56.83,1563121163,64.85,95,100,5.66
Severobaykalsk,RU,55.65,109.32,1563121163,50.81,80,100,2.91
Sumenep,ID,-7.02,113.87,1563121164,71.51,78,0,8.84
Ancud,CL,-41.87,-73.83,1563121164,46.4,87,75,9.17
Puerto Ayora,EC,-0.74,-90.35,1563121085,75.43,69,20,14.99
Moberly,US,39.42,-92.44,1563121054,84.15,74,75,8.05
Katsuura,JP,33.93,134.5,1563121164,72.48,88,75,13.87
Chokurdakh,RU,70.62,147.9,1563121164,45.95,91,100,5.46
Torbay,CA,47.66,-52.73,1563121165,53.17,100,90,11.41
Izumo,JP,35.37,132.75,1563121165,71.6,88,75,6.93
Igarka,RU,67.47,86.57,1563121166,63.59,65,97,3.62
Omsukchan,RU,62.53,155.8,1563121166,60.35,53,33,6.96
Nokaneng,BW,-19.66,22.19,1563121166,78.35,11,0,7.23
Palu,ID,-0.9,119.87,1563121166,73.85,93,96,2.8
Mataura,NZ,-46.19,168.86,1563121166,41.99,78,71,9.15
Longyearbyen,NO,78.22,15.63,1563121167,46.4,75,75,9.17
Muros,ES,42.77,-9.06,1563121167,75.94,58,20,2.24
Somerset West,ZA,-34.08,18.85,1563121167,57.02,71,0,10.29
Ketchikan,US,55.34,-131.65,1563121167,60.01,93,90,11.41
Ostrovnoy,RU,68.05,39.51,1563121168,45.05,77,47,7.87
Villarrica,CL,-39.28,-72.23,1563121168,49.17,81,75,8.05
Lorengau,PG,-2.02,147.27,1563121168,78.89,84,100,7.65
Faanui,PF,-16.48,-151.75,1563121168,79.07,75,97,12.35
Grand Island,US,40.92,-98.34,1563121094,81.7,61,1,8.05
Luderitz,NA,-26.65,15.16,1563121169,62.6,67,0,10.29
Kuryk,KZ,43.18,51.68,1563121169,77.45,54,15,20.76
Muyezerskiy,RU,63.93,31.65,1563121169,50.81,82,85,10.22
Spassk-Dalniy,RU,44.6,132.82,1563121169,62.33,91,81,1.68
Virginia Beach,US,36.85,-75.98,1563121010,91.17,52,1,5.66
Hobart,AU,-42.88,147.33,1563121014,43.84,61,40,17.22
Cayce,US,33.97,-81.07,1563121170,87.01,62,1,5.82
Leningradskiy,RU,69.38,178.42,1563121170,34.61,95,100,2.57
Cayenne,GF,4.94,-52.33,1563121142,86.0,70,75,4.7
Coihaique,CL,-45.58,-72.07,1563120996,38.44,93,75,6.93
Ambanja,MG,-13.68,48.45,1563121171,77.0,73,20,2.24
Bathsheba,BB,13.22,-59.52,1563121171,84.22,66,40,24.16
Aklavik,CA,68.22,-135.01,1563121171,64.4,77,75,2.24
Yuncheng,CN,35.03,111.0,1563121172,83.93,33,66,7.34
Paramonga,PE,-10.68,-77.82,1563121172,61.97,83,95,7.0
Pangnirtung,CA,66.15,-65.72,1563121172,55.85,41,99,5.91
Pochutla,MX,15.74,-96.47,1563121172,84.63,70,40,2.3
Banda Aceh,ID,5.56,95.32,1563121172,83.03,73,100,14.85
Saskylakh,RU,71.97,114.09,1563121173,47.39,59,0,11.3
Mahebourg,MU,-20.41,57.7,1563121173,67.5,64,20,4.7
Aykhal,RU,65.95,111.51,1563121173,62.6,63,40,4.47
Tiksi,RU,71.64,128.87,1563121173,40.55,74,4,3.74
Provideniya,RU,64.42,-173.23,1563121174,51.35,87,95,5.17
Kalmunai,LK,7.42,81.82,1563121174,81.77,75,100,1.88
Saint-Joseph,FR,43.56,6.97,1563121174,81.18,48,0,9.17
Qasigiannguit,GL,68.82,-51.19,1563121174,53.6,50,20,6.93
Khasan,RU,42.43,130.64,1563121174,58.73,97,88,2.84
Atuona,PF,-9.8,-139.03,1563121175,79.79,78,14,17.05
Dikson,RU,73.51,80.55,1563121175,38.75,76,81,14.92
Perth,AU,-31.95,115.86,1563121175,52.38,66,0,12.75
Cidreira,BR,-30.17,-50.22,1563121175,55.49,84,100,8.19
Vaini,IN,15.34,74.49,1563121176,71.6,94,75,4.7
Vetlanda,SE,57.43,15.09,1563121176,68.88,46,0,6.93
Pechora,RU,65.12,57.16,1563121176,70.07,53,38,7.36
Namibe,AO,-15.19,12.15,1563121176,71.6,78,0,18.34
Zhangye,CN,38.94,100.46,1563121177,70.97,35,100,1.43
Tasiilaq,GL,65.61,-37.64,1563121177,46.4,65,75,9.17
Oussouye,SN,12.49,-16.54,1563121177,88.95,70,40,6.93
Hasaki,JP,35.73,140.83,1563121178,67.73,94,75,9.17
Vardo,US,39.62,-77.74,1563121178,86.41,55,1,6.93
Bluff,AU,-23.58,149.07,1563121178,46.85,50,59,6.17
Karratha,AU,-20.74,116.85,1563121178,66.29,24,0,11.18
Qaanaaq,GL,77.48,-69.36,1563121178,46.13,58,25,13.56
Mehamn,NO,71.03,27.85,1563121179,48.2,66,75,9.17
Constitucion,MX,23.99,-104.67,1563121179,69.17,60,5,11.95
Coquimbo,CL,-29.95,-71.34,1563121179,55.4,47,0,9.91
Coro,VE,11.41,-69.67,1563121179,85.55,63,90,22.84
Marsa Matruh,EG,31.35,27.25,1563121179,84.2,66,0,8.05
Marzuq,YE,14.4,46.47,1563121180,83.57,38,95,15.19
Sioux Lookout,CA,50.1,-91.92,1563121012,68.0,82,90,8.05
Esperance,AU,-33.86,121.89,1563121180,46.4,87,0,8.05
Zhangjiakou,CN,40.77,114.88,1563121180,64.49,52,0,4.72
Fruitvale,CA,49.12,-117.55,1563121180,66.9,64,100,1.01
Arlit,NE,18.74,7.39,1563121181,106.07,10,0,3.67
Vysokogornyy,RU,50.1,139.13,1563121181,50.09,98,72,3.04
Alofi,NU,-19.06,-169.92,1563121181,71.6,73,0,8.05
Bilibino,RU,68.06,166.44,1563121181,58.01,73,82,7.27
Yangambi,CD,0.77,24.47,1563121182,86.09,57,100,1.57
Airai,TL,-8.93,125.41,1563121182,67.37,78,33,5.12
Baykit,RU,61.68,96.39,1563121182,52.79,91,48,1.36
Nyurba,RU,63.29,118.35,1563121182,62.51,91,75,3.11
Tual,ID,-5.67,132.75,1563121182,77.63,81,15,21.32
Zhanaozen,KZ,43.35,52.85,1563121183,77.09,57,0,25.3
Ahipara,NZ,-35.17,173.16,1563121183,58.91,67,0,25.46
Saint Anthony,US,43.97,-111.68,1563121183,73.11,53,1,3.36
Lensk,RU,60.71,114.91,1563121183,62.51,84,95,2.95
Vallenar,CL,-28.58,-70.76,1563121183,66.83,22,0,3.62
San Martin,MX,27.96,-110.94,1563121184,90.34,79,40,2.98
Cape Town,ZA,-33.93,18.42,1563121057,57.04,71,0,10.29
Santa Maria,BR,-16.02,-48.01,1563121184,80.15,29,0,5.82
Barrow,AR,-38.31,-60.23,1563121184,51.71,56,92,8.55
Bredasdorp,ZA,-34.53,20.04,1563121184,54.64,67,33,6.93
Manta,RO,45.1,24.1,1563121185,68.09,71,100,2.19
Hithadhoo,MV,-0.6,73.08,1563121185,83.57,78,34,11.36
Sola,TZ,-3.17,33.8,1563121185,83.21,29,0,7.56
Najran,SA,17.54,44.22,1563121185,96.8,11,20,9.17
Saint George,GR,39.45,22.34,1563121186,80.6,51,40,11.41
Beloha,MG,-25.17,45.06,1563121186,65.57,77,40,15.17
Bozeman,US,45.68,-111.04,1563121186,69.22,64,1,3.36
Fortuna,US,40.6,-124.16,1563121186,61.25,82,20,12.01
Taoudenni,ML,22.68,-3.98,1563121187,110.03,13,37,14.25
Port Elizabeth,US,39.31,-74.98,1563121187,88.32,58,1,6.93
Satao,PT,40.74,-7.73,1563121187,83.43,46,0,7.0
Upata,VE,8.02,-62.41,1563121187,88.0,65,0,3.0
Itupeva,BR,-23.15,-47.06,1563121188,77.58,36,0,10.29
Qingdao,CN,36.09,120.35,1563121188,77.45,83,100,4.47
Yellowknife,CA,62.45,-114.38,1563120962,63.32,55,20,10.29
Kodiak,US,39.95,-94.76,1563121188,87.22,52,1,3.36
Caravelas,BR,-17.73,-39.27,1563121188,81.23,52,0,3.8
Lumsden,CA,50.65,-104.86,1563121188,75.09,60,20,8.05
Laramie,US,41.31,-105.59,1563121189,74.55,34,1,4.7
Thompson,CA,55.74,-97.86,1563121189,59.0,82,75,9.17
Requena,ES,39.49,-1.1,1563121189,82.99,58,20,10.29
Henties Bay,NA,-22.12,14.28,1563121189,55.0,93,0,1.99
Dunedin,NZ,-45.87,170.5,1563121051,45.0,65,85,14.0
Castro,CL,-42.48,-73.76,1563121190,46.4,87,75,9.17
Saldanha,PT,41.42,-6.55,1563121190,88.61,31,0,1.83
Shaoyang,CN,27.23,111.45,1563121190,68.63,97,99,1.61
Avarua,CK,-21.21,-159.78,1563121191,64.4,88,0,1.12
Guatire,VE,10.47,-66.54,1563121191,81.63,66,20,5.82
Bubaque,GW,11.28,-15.83,1563121191,79.79,78,100,7.16
Fort Wellington,GY,6.4,-57.6,1563121191,88.07,52,0,5.12
Poladpur,IN,17.98,73.47,1563121192,81.23,87,7,10.25
Palmer,AU,-34.85,139.16,1563121192,51.13,76,75,16.11
Fare,PF,-16.7,-151.02,1563121192,78.71,74,84,10.07
Colares,PT,38.8,-9.45,1563121192,73.47,64,20,10.29
Lata,IN,30.78,78.62,1563121193,42.89,96,99,3.31
Otjiwarongo,NA,-20.46,16.65,1563121193,78.8,9,0,3.36
Bambous Virieux,MU,-20.34,57.76,1563121193,67.57,64,20,4.7
Portobelo,PA,9.55,-79.65,1563121193,81.52,88,40,2.24
Kavaratti,IN,10.57,72.64,1563121194,83.39,73,100,16.69
Krivosheino,RU,57.34,83.93,1563121194,65.21,62,43,5.3
La Roda,ES,39.21,-2.16,1563121194,89.55,31,0,12.75
Qaqortoq,GL,60.72,-46.03,1563121194,62.6,51,75,9.17
Kahului,US,20.89,-156.47,1563121195,72.68,73,1,11.41
Axim,GH,4.87,-2.24,1563121195,76.91,78,13,9.46
Saint-Augustin,CA,45.63,-73.98,1563121195,73.56,64,75,10.29
Alugan,PH,12.22,125.48,1563121195,74.39,94,100,3.51
Grand Gaube,MU,-20.01,57.66,1563121195,67.87,64,20,4.7
Myitkyina,MM,25.38,97.4,1563121196,72.95,98,100,2.1
Bulgan,MN,48.81,103.53,1563121196,58.91,91,100,3.22
Dubbo,AU,-32.25,148.6,1563121196,48.2,66,90,11.41
Tuatapere,NZ,-46.13,167.69,1563121197,47.75,62,100,23.02
Parasia,IN,22.19,78.76,1563121197,78.89,71,90,6.78
Aswan,EG,24.09,32.9,1563121197,107.6,9,0,14.99
Bellary,IN,15.15,76.93,1563121197,79.25,68,100,15.84
Koslan,RU,63.46,48.9,1563121197,67.55,48,88,1.63
Samarai,PG,-10.62,150.67,1563121198,73.67,96,100,10.56
Ballina,IE,54.11,-9.15,1563121198,69.75,49,20,6.93
High Level,CA,58.52,-117.13,1563121030,57.2,87,90,11.41
Vangaindrano,MG,-23.35,47.6,1563121198,64.31,73,76,3.09
Gillette,US,44.29,-105.5,1563121198,77.47,57,1,19.46
Acapulco,MX,16.86,-99.88,1563121199,80.6,83,75,4.7
Chifeng,CN,42.27,118.96,1563121199,65.39,65,0,1.1
Roros,NO,62.57,11.38,1563121199,51.8,66,75,13.87
La Peca,PE,-5.61,-78.44,1563121200,66.11,91,96,0.76
Gambela,ET,8.25,34.59,1563121200,73.13,90,100,1.9
Shinpokh,PK,34.33,71.18,1563121200,93.2,44,20,10.29
Zhigansk,RU,66.77,123.37,1563121200,56.57,70,32,12.41
Sioni,GE,41.99,45.02,1563121201,80.6,39,0,10.29
Chimore,BO,-16.98,-65.13,1563121201,80.51,55,32,4.18
Gifford,CA,49.1,-122.34,1563121202,62.96,77,75,5.82
Ziro,IN,27.54,93.82,1563121202,60.35,99,100,0.69
Inza,RU,53.86,46.36,1563121202,66.65,84,17,3.11
Geraldton,CA,49.72,-86.95,1563121202,75.2,44,90,14.99
Souillac,FR,45.6,-0.6,1563121202,81.81,30,0,13.87
Dzerzhinskoye,RU,56.84,95.22,1563121203,62.33,73,23,5.5
Grand-Santi,GF,4.27,-54.38,1563121203,88.25,52,12,3.18
Vereshchagino,RU,58.07,54.67,1563121203,61.61,81,95,6.53
Kriva Palanka,MK,42.2,22.33,1563121203,72.07,47,40,9.17
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1563121204,50.0,100,0,4.47
Atar,MR,20.52,-13.05,1563121204,116.15,5,0,18.9
Moussoro,TD,13.64,16.49,1563121204,101.21,23,27,9.78
Harlingen,NL,53.18,5.41,1563121204,60.58,77,90,10.29
Upernavik,GL,72.79,-56.15,1563121205,45.05,86,0,4.63
Gornopravdinsk,RU,60.06,69.92,1563121205,82.31,53,0,6.85
Marovoay,MG,-16.11,46.64,1563121205,75.2,41,0,4.7
Karasburg,NA,-28.01,18.75,1563121205,77.99,10,0,14.16
Kaduqli,SD,11.01,29.72,1563121206,78.53,72,100,5.93
George Town,MY,5.42,100.33,1563121206,79.27,83,75,3.36
Hammerfest,NO,70.66,23.68,1563121206,48.2,66,75,11.41
Linhares,BR,-19.38,-40.06,1563121206,84.11,35,0,3.71
Pucara,BO,-21.7,-64.2,1563121207,60.55,52,20,3.31
Baker City,US,44.77,-117.83,1563121207,66.96,48,1,4.81
Bethel,US,60.79,-161.76,1563121207,56.77,100,75,5.23
Summerville,US,33.02,-80.17,1563121207,88.79,55,1,13.87
Paamiut,GL,61.99,-49.67,1563121208,43.25,89,0,12.33
Iqaluit,CA,63.75,-68.52,1563121208,50.0,76,40,12.75
Lakatoro,VU,-16.11,167.42,1563121208,77.99,76,100,7.49
Kayerkan,RU,69.35,87.76,1563121208,62.6,77,0,6.71
Concordia,AR,-31.4,-58.02,1563121209,53.78,81,75,9.17
Fallon,US,46.84,-105.12,1563121209,80.6,57,1,13.87
Cherskiy,RU,68.75,161.3,1563121209,43.97,66,97,19.82
Sao Filipe,CV,14.9,-24.5,1563121209,74.03,85,86,11.05
Sobolevo,RU,54.43,31.9,1563121210,63.23,76,100,2.37
Itarema,BR,-2.92,-39.92,1563121210,88.79,50,27,9.06
Quatre Cocos,MU,-20.21,57.76,1563121211,67.68,64,20,4.7
Laje,BR,-13.18,-39.42,1563121211,81.95,44,5,6.2
Nibbar,TN,36.29,8.77,1563121211,96.8,39,20,13.87
Vao,EE,59.1,26.19,1563121212,60.35,47,100,5.53
Alamogordo,US,32.9,-105.96,1563121212,80.35,33,1,3.36
Voh,NC,-20.95,164.69,1563121212,70.25,84,97,14.5
Severo-Kurilsk,RU,50.68,156.12,1563121212,43.97,91,79,10.87
Bida,NG,9.08,6.02,1563121213,88.79,59,25,4.94
Duki,PK,30.15,68.58,1563121213,95.45,22,0,7.05
Pedernales,EC,0.07,-80.05,1563121213,74.39,85,100,20.69
Hulst,NL,51.28,4.05,1563121213,64.99,59,90,12.75
Vila Velha,BR,-3.71,-38.6,1563121213,84.25,55,20,17.22
